,,,,,
,,,,,
Abbotsford,Abbotsford District 4-H Council,Community Gaming Grant,Human and Social Services,Enhancement of Youth,10000.00
Abbotsford,Abbotsford Falcons Football Association,Community Gaming Grant,Sport,Sports for Youth,22000.00
Abbotsford,Abbotsford Female Hockey Association,Community Gaming Grant,Sport,Sports for Youth,26000.00
Abbotsford,Abbotsford Hospice Society,Community Gaming Grant,Human and Social Services,Public Health in the Community,140000.00
Abbotsford,Abbotsford International Airshow Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",60000.00
Abbotsford,Abbotsford Judo Club,Community Gaming Grant,Sport,Sports for Youth,36000.00
Abbotsford,Abbotsford Learning Plus Society,Community Gaming Grant,Human and Social Services,Community Education,4500.00
Abbotsford,Abbotsford Middle School PAC,PAC,DPAC and PAC,Parent Advisory Councils,16488.00
Abbotsford,Abbotsford Minor Fastball Association,Community Gaming Grant,Sport,Sports for Youth,19800.00
Abbotsford,Abbotsford Minor Hockey Association,Community Gaming Grant,Sport,Sports for Youth,100000.00
Abbotsford,Abbotsford Peer Support for Seniors,Community Gaming Grant,Human and Social Services,Community Service Organization,31000.00
Abbotsford,Abbotsford Restorative Justice and Advocacy Association,Community Gaming Grant,Public Safety,Enhancement of Public Safety,76500.00
Abbotsford,Abbotsford Rugby Football Club Society,Community Gaming Grant,Sport,Sports for Youth,14000.00
Abbotsford,Abbotsford Senior Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,26112.00
Abbotsford,Abbotsford Skating Club,Community Gaming Grant,Sport,Sports for Youth,50000.00
Abbotsford,Abbotsford Soccer Association,Community Gaming Grant,Sport,Sports for Youth,100000.00
Abbotsford,Abbotsford Traditional Middle School PAC,PAC,DPAC and PAC,Parent Advisory Councils,9000.00
Abbotsford,Abbotsford Traditional Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,10200.00
Abbotsford,Abbotsford Virtual School PAC,PAC,DPAC and PAC,Parent Advisory Councils,5856.00
Abbotsford,Abbotsford Youth Commission,Community Gaming Grant,Human and Social Services,Enhancement of Youth,100000.00
Abbotsford,Aberdeen Elementary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,4440.00
Abbotsford,Alexander Elementary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,5136.00
Abbotsford,ASIA North Poplar School PAC,PAC,DPAC and PAC,Parent Advisory Councils,9888.00
Abbotsford,Auguston Traditional Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,8376.00
Abbotsford,Bakerview Centre for Learning Parent Advisory Council,PAC,DPAC and PAC,Parent Advisory Councils,5880.00
Abbotsford,Barrowtown Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,1080.00
Abbotsford,Big Brothers Big Sisters of the Fraser Valley,Community Gaming Grant,Human and Social Services,Enhancement of Youth,225000.00
Abbotsford,Blue Jay Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,10032.00
Abbotsford,Bradner Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,2448.00
Abbotsford,British Columbia Speed Skating Association,Community Gaming Grant,Sport,Sports for Youth,70400.00
Abbotsford,British Columbia Standardbred Horse Adoption Society,Community Gaming Grant,Environment,Conservation of the Environment,28000.00
Abbotsford,Centennial Park Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6672.00
Abbotsford,Central Fraser Valley Search and Rescue Society,Community Gaming Grant,Public Safety,Enhancement of Public Safety,55000.00
Abbotsford,Central Valley Academy of Music Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,5000.00
Abbotsford,Chief Dan George Middle School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,13656.00
Abbotsford,Clayburn Middle School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,16968.00
Abbotsford,Clearbrook Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,11352.00
Abbotsford,Colleen and Gordie Howe Middle School PAC,PAC,DPAC and PAC,Parent Advisory Councils,11568.00
Abbotsford,Cornerstone Christian School PAC,PAC,DPAC and PAC,Parent Advisory Councils,3576.00
Abbotsford,Creative Centre Society for Mental Wellness,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,14300.00
Abbotsford,Dasmesh Parent Support Group,PAC,DPAC and PAC,Parent Advisory Councils,18360.00
Abbotsford,Dave Kandal Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,6072.00
Abbotsford,District Parent Advisory Council S.D. #34 - Abbotsford,DPAC,DPAC and PAC,District Parent Advisory Council,2500.00
Abbotsford,Dormick Park Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,7848.00
Abbotsford,Dr. Roberta Bondar Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6072.00
Abbotsford,Dr. Thomas A. Swift Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,7752.00
Abbotsford,Eugene Reimer Middle School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,11064.00
Abbotsford,Fraser Valley Brain Injury Association,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,60000.00
Abbotsford,Fraser Valley Child Development (1982) Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,160000.00
Abbotsford,Fraser Valley Community Charitable Gaming Association,Community Gaming Grant,Human and Social Services,Community Education,43000.00
Abbotsford,Gallery 7 Theatre and Performing Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,30000.00
Abbotsford,Godson Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,7968.00
Abbotsford,Hand In Hand Child Care Society,Community Gaming Grant,Human and Social Services,Community Education,85000.00
Abbotsford,Harry Sayers Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,10488.00
Abbotsford,Heritage Abbotsford Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",42000.00
Abbotsford,Jackson Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,3840.00
Abbotsford,John Maclure Community School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6984.00
Abbotsford,King Traditional Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,9120.00
Abbotsford,Kinsmen Club of Abbotsford,Community Gaming Grant,Human and Social Services,Community Service Organization,8500.00
Abbotsford,Kiwanis Club of Abbotsford,Community Gaming Grant,Human and Social Services,Community Service Organization,8000.00
Abbotsford,Kiwanis Club of Clearbrook,Community Gaming Grant,Human and Social Services,Community Service Organization,27700.00
Abbotsford,L.I.F.E. Recovery Association,Community Gaming Grant,Human and Social Services,Public Health in the Community,88000.00
Abbotsford,Lions Club of Abbotsford,Community Gaming Grant,Human and Social Services,Community Service Organization,20000.00
Abbotsford,Lions Club of Aldergrove,Community Gaming Grant,Human and Social Services,Community Service Organization,12000.00
Abbotsford,Margaret Stenersen Elementary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,10776.00
Abbotsford,Matsqui Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,3144.00
Abbotsford,McMillan Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,9744.00
Abbotsford,Mountain Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,10416.00
Abbotsford,MSA Society for Community Living,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,45000.00
Abbotsford,Mt Lehman Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,3552.00
Abbotsford,Positive Living Fraser Valley Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,9000.00
Abbotsford,Prince Charles Elementary P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,7776.00
Abbotsford,Rick Hansen Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,14904.00
Abbotsford,Robert Bateman Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,24120.00
Abbotsford,Ross Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,4272.00
Abbotsford,Rotary Club of Abbotsford,Community Gaming Grant,Human and Social Services,Community Service Organization,20000.00
Abbotsford,Rotary Club of Abbotsford Sumas,Community Gaming Grant,Human and Social Services,Community Service Organization,11500.00
Abbotsford,Sandy Hill Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,13728.00
Abbotsford,Shrine Club #40 - Abbotsford,Community Gaming Grant,Human and Social Services,Community Service Organization,25000.00
Abbotsford,Soroptimist International Abbotsford Mission,Community Gaming Grant,Human and Social Services,Community Service Organization,36000.00
Abbotsford,South Poplar Traditional School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6552.00
Abbotsford,Special Olympics British Columbia Society - Abbotsford,Community Gaming Grant,Sport,Sports for Disabled Persons,28500.00
Abbotsford,St. James Elementary Parent Support Group,PAC,DPAC and PAC,Parent Advisory Councils,5496.00
Abbotsford,St. John Brebeuf Parent Support Group,PAC,DPAC and PAC,Parent Advisory Councils,9744.00
Abbotsford,Ten Broeck Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,7224.00
Abbotsford,Terry Fox Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,6792.00
Abbotsford,The Abbotsford Whalers Summer Swim Club,Community Gaming Grant,Sport,Sports for Youth,60000.00
Abbotsford,The Center for Epilepsy and Seizure Education British Columbia,Community Gaming Grant,Human and Social Services,Public Health in the Community,136400.00
Abbotsford,Twisters Gymnastics Club,Community Gaming Grant,Sport,Sports for Youth,53000.00
Abbotsford,Upper Fraser Valley Developmental Preschool Society,Community Gaming Grant,Human and Social Services,Community Education,16800.00
Abbotsford,Upper Sumas Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,4176.00
Abbotsford,Valley Royals Track and Field Club,Community Gaming Grant,Sport,Sports for Youth,16000.00
Abbotsford,W.A. Fraser Middle School - PAC,PAC,DPAC and PAC,Parent Advisory Councils,16368.00
Abbotsford,W.J. Mouat Secondary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,31392.00
Abbotsford,West Abbotsford Community School Society,Community Gaming Grant,Human and Social Services,Community Education,28000.00
Abbotsford,Yale Secondary School Parents Association,PAC,DPAC and PAC,Parent Advisory Councils,31680.00
Agassiz,Agassiz Elementary  Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,7008.00
Agassiz,Agassiz Harrison Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",7000.00
Agassiz,Agassiz-Harrison Community Services,Community Gaming Grant,Human and Social Services,Public Community Facilities,28500.00
Agassiz,AHA Swim Club,Community Gaming Grant,Sport,Sports for Youth,29700.00
Agassiz,B.C. Seniors Games Society - Zone 3,Community Gaming Grant,Sport,Sports - Adult,20000.00
Agassiz,Hemlock Ski Club,Community Gaming Grant,Sport,Sports for Youth,7000.00
Agassiz,Kent Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6696.00
Agassiz,Kent-Harrison Search & Rescue Team Society,Capital Project Grant,Public Safety,Enhancement of Public Safety,200000.00
Aldergrove,Aldergrove Agricultural Fair and Festival Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",8000.00
Aldergrove,Aldergrove Community Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,16464.00
Aldergrove,Aldergrove Figure Skating Club,Community Gaming Grant,Sport,Sports for Youth,24500.00
Aldergrove,Aldergrove Minor Baseball Association,Community Gaming Grant,Sport,Sports for Youth,15000.00
Aldergrove,Aldergrove Minor Hockey Association,Community Gaming Grant,Sport,Sports for Youth,61600.00
Aldergrove,Aldergrove Soccer Society,Community Gaming Grant,Sport,Sports for Youth,25000.00
Aldergrove,Betty Gilbert School PAC,PAC,DPAC and PAC,Parent Advisory Councils,9168.00
Aldergrove,Coghlan Fundamental School PAC,PAC,DPAC and PAC,Parent Advisory Councils,5352.00
Aldergrove,Horse Council of British Columbia,Community Gaming Grant,Sport,Sports for Youth,55000.00
Aldergrove,Lifeline Outreach Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,20000.00
Aldergrove,Navy League of Canada - Central Fraser Valley Branch,Community Gaming Grant,Human and Social Services,Enhancement of Youth,4350.00
Aldergrove,North Otter Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,6888.00
Aldergrove,Parkside Centennial Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,11352.00
Aldergrove,Rotary Club of Aldergrove,Community Gaming Grant,Human and Social Services,Community Service Organization,8500.00
Aldergrove,Shortreed Community School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,7848.00
Aldergrove,Special Olympics British Columbia Society - Langley,Community Gaming Grant,Sport,Sports for Disabled Persons,10000.00
Aldergrove,The Aldergrove Veterans and Seniors Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,6750.00
Aldergrove,Valley Therapeutic Equestrian Association,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,71000.00
Alert Bay,Alert Bay Elementary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,1512.00
Anahim Lake,Anahim Lake School PAC,PAC,DPAC and PAC,Parent Advisory Councils,768.00
Anmore,Anmore Elementary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,3192.00
Anmore,Coquitlam-Moody Ringette Association,Community Gaming Grant,Sport,Sports for Youth,20000.00
Anmore,Eagle Mountain Middle School PAC,PAC,DPAC and PAC,Parent Advisory Councils,13632.00
Anmore,Friendly Forest Preschool Association,Community Gaming Grant,Human and Social Services,Community Education,7000.00
Anmore,Scouts Canada - 1st Anmore,Community Gaming Grant,Human and Social Services,Enhancement of Youth,6500.00
Armstrong,Armstrong & District Curling Club,Community Gaming Grant,Sport,Sports for Youth,16050.00
Armstrong,Armstrong Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6528.00
Armstrong,Armstrong Play-School Association,Community Gaming Grant,Human and Social Services,Community Education,7000.00
Armstrong,Armstrong/Enderby Skating Club,Community Gaming Grant,Sport,Sports for Youth,13000.00
Armstrong,Caravan Farm Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,27500.00
Armstrong,Highland Park Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,7368.00
Armstrong,Interior Provincial Exhibition Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",100000.00
Armstrong,Kindale Developmental Association,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,65000.00
Armstrong,Len Wood Middle School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6600.00
Armstrong,North Okanagan Therapeutic Riding Association,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,20000.00
Armstrong,Pleasant Valley Secondary School  PAC,PAC,DPAC and PAC,Parent Advisory Councils,10440.00
Ashcroft,Desert Sands Community School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6336.00
Ashcroft,District Parent Advisory Council S.D. #74 - Gold Trail,DPAC,DPAC and PAC,District Parent Advisory Council,2500.00
Ashcroft,Thompson Cariboo Minor Hockey Association,Community Gaming Grant,Sport,Sports for Youth,7000.00
Ashcroft,Winding Rivers Arts & Performance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3000.00
Atlin,Atlin Recreation Centre,Community Gaming Grant,Sport,Sports - Adult,12000.00
Baldonnel,Baldonnel Elementary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,3312.00
Bamfield,Bamfield Volunteer Fire Department,Community Gaming Grant,Public Safety,Enhancement of Public Safety,15000.00
Barriere,Barriere and District Heritage Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,2500.00
Barriere,Barriere Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,5736.00
Barriere,Barriere First Responders Society,Community Gaming Grant,Public Safety,Enhancement of Public Safety,87500.00
Barriere,Barriere Recreation Society,Community Gaming Grant,Sport,Sports - Adult,7600.00
Barriere,Barriere Secondary School Booster Club,PAC,DPAC and PAC,Parent Advisory Councils,3360.00
Barriere,British Columbia Agricultural Exposition Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",34000.00
Barriere,Lions Club of Barriere,Community Gaming Grant,Human and Social Services,Community Service Organization,4000.00
Barriere,North Thompson Activity Centre Society,Community Gaming Grant,Human and Social Services,Community Education,7800.00
Barriere,North Thompson Fall Fair and Rodeo Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",25500.00
Beaverdell,Beaverdell Elementary P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,240.00
Belcarra,Association of Neighbourhood Houses - Sasamat Outdoor Centre,Community Gaming Grant,Human and Social Services,Enhancement of Youth,52000.00
Belcarra,Scouts Canada - 4th Port Coquitlam,Community Gaming Grant,Human and Social Services,Enhancement of Youth,9000.00
Bella Coola,Bella Coola Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,2280.00
Bella Coola,Discovery Coast Music Festival Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,7000.00
Bella Coola,The Social Health and Economic Development Society of Bella Coola,Community Gaming Grant,Human and Social Services,Community Education,15000.00
Big Lake,Big Lake Community Association,Community Gaming Grant,Public Safety,Enhancement of Public Safety,25200.00
Big White,Big Lake Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,576.00
Black Creek,Black Creek Community Association,Community Gaming Grant,Human and Social Services,Public Community Facilities,19000.00
Black Creek,Miracle Beach Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,5616.00
Black Creek,Strathcona Nordics Ski Club,Community Gaming Grant,Sport,Sports for Youth,27500.00
Boston Bar,Boston Bar Elementary Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,1344.00
Boston Bar,Boston Bar/North Bend Enhancement Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,6000.00
Bowen Island,Bowen Children's Centre Society,Community Gaming Grant,Human and Social Services,Community Education,34250.00
Bowen Island,Bowen Island Community School Parent Advisory Council,PAC,DPAC and PAC,Parent Advisory Councils,7896.00
Bowen Island,Bowen Island Gymnastics Club,Community Gaming Grant,Sport,Sports for Youth,8430.00
Bowen Island,Bowen Island Montessori School Society,Community Gaming Grant,Human and Social Services,Community Education,5600.00
Bowen Island,Bowen Island Museum & Archives,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",19000.00
Bowen Island,Bowen Island Sport Society,Community Gaming Grant,Sport,Sports for Youth,14000.00
Bowen Island,Caring Circle Health & Wellness Society of Bowen Island,Community Gaming Grant,Human and Social Services,Community Education,15000.00
Bowen Island,Island Discovery Learning Community PAC,PAC,DPAC and PAC,Parent Advisory Councils,6696.00
Bowen Island,Scouts Canada - 16th Bowen Island Scout Group,Community Gaming Grant,Human and Social Services,Enhancement of Youth,1400.00
Bowser,Bowser Elementary School P.A.C.,PAC,DPAC and PAC,Parent Advisory Councils,4560.00
Bowser,"Lighthouse Country Marine Rescue Society, Unit 59",Community Gaming Grant,Public Safety,Enhancement of Public Safety,12750.00
Brackendale,Brackendale Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,7344.00
Brackendale,Don Ross Secondary PAC,PAC,DPAC and PAC,Parent Advisory Councils,13416.00
Brackendale,Evans Lake Forest Education Society,Community Gaming Grant,Human and Social Services,Community Education,45000.00
Brentwood Bay,Bayside Middle School PAC,PAC,DPAC and PAC,Parent Advisory Councils,14280.00
Brentwood Bay,Brentwood Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,7536.00
Brentwood Bay,Central Saanich Extreme Fastball Club,Community Gaming Grant,Sport,Sports for Youth,13500.00
Brentwood Bay,Via Choralis Performance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3000.00
Britannia Beach,Britannia Mine Museum Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",51000.00
Buick,Buick Creek Home and School,PAC,DPAC and PAC,Parent Advisory Councils,528.00
Burnaby,759 Falcon Squadron Sponsoring Committee,Community Gaming Grant,Human and Social Services,Enhancement of Youth,12000.00
Burnaby,Action for Animals in Distress Society,Community Gaming Grant,Environment,Conservation of the Environment,6000.00
Burnaby,Adoptive Families Association of British Columbia,Community Gaming Grant,Human and Social Services,Community Education,104200.00
Burnaby,Advent Booster Academy Society,Community Gaming Grant,Sport,Sports for Youth,15000.00
Burnaby,Armstrong Elementary  PAC,PAC,DPAC and PAC,Parent Advisory Councils,9600.00
Burnaby,Arokis Centre of Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6300.00
Burnaby,Aubrey Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,9336.00
Burnaby,BC Original Minds Association,Community Gaming Grant,Human and Social Services,Community Education,200000.00
Burnaby,BC School Sports,Community Gaming Grant,Sport,Sports for Youth,200000.00
Burnaby,Brantford Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,8856.00
Burnaby,Brentwood Nursery School Society,Community Gaming Grant,Human and Social Services,Community Education,23800.00
Burnaby,Brentwood Park Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,11760.00
Burnaby,British Columbia Amateur Athletics Association,Community Gaming Grant,Sport,Sports - Adult,160000.00
Burnaby,British Columbia Amateur Synchronized Swimming Association,Capital Project Grant,Sport,Sports for Youth,20000.00
Burnaby,British Columbia Amateur Synchronized Swimming Association,Community Gaming Grant,Sport,Sports for Youth,75000.00
Burnaby,British Columbia Lacrosse Association,Community Gaming Grant,Sport,Sports for Youth,196000.00
Burnaby,British Columbia Wrestling Association,Community Gaming Grant,Sport,Sports for Youth,56000.00
Burnaby,Buckingham Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,6024.00
Burnaby,Burnaby - Lakeview Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,6600.00
Burnaby,Burnaby Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15100.00
Burnaby,Burnaby Association for Community Inclusion,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,89000.00
Burnaby,Burnaby Barracuda Summer Aquatics Club,Community Gaming Grant,Sport,Sports for Youth,51900.00
Burnaby,Burnaby Bulldogs Baseball Association,Community Gaming Grant,Sport,Sports - Adult,6000.00
Burnaby,Burnaby Canoe & Kayak Club,Community Gaming Grant,Sport,Sports for Youth,15000.00
Burnaby,Burnaby Caprice Synchronized Swim Club Society,Community Gaming Grant,Sport,Sports for Youth,12500.00
Burnaby,Burnaby Central Secondary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,32520.00
Burnaby,Burnaby Children's Centres Society,Community Gaming Grant,Human and Social Services,Public Community Facilities,35000.00
Burnaby,Burnaby Community Services Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,54000.00
Burnaby,Burnaby Family Life Institute,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,84000.00
Burnaby,Burnaby Fellowship Centre Society,Community Gaming Grant,Human and Social Services,Community Service Organization,40000.00
Burnaby,Burnaby Field Lacrosse Club,Community Gaming Grant,Sport,Sports for Youth,9800.00
Burnaby,Burnaby Fire Fighters Charitable Society,Community Gaming Grant,Human and Social Services,Public Health in the Community,55000.00
Burnaby,Burnaby French Language Playschool Society,Community Gaming Grant,Human and Social Services,Community Education,5000.00
Burnaby,Burnaby Haida Speed Skating Association,Community Gaming Grant,Sport,Sports for Youth,13000.00
Burnaby,Burnaby Hospice Society,Community Gaming Grant,Human and Social Services,Public Health in the Community,78000.00
Burnaby,Burnaby Lakeview Preschool Association,Community Gaming Grant,Human and Social Services,Community Education,7000.00
Burnaby,Burnaby Lyric Opera Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,20000.00
Burnaby,Burnaby Meals on Wheels Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,62000.00
Burnaby,Burnaby Minor Baseball Association,Community Gaming Grant,Sport,Sports for Youth,21540.00
Burnaby,Burnaby Minor Hockey Association,Community Gaming Grant,Sport,Sports for Youth,100000.00
